img_number,metadata_label,f_a_0,f_a_1,f_a_2,f_a_3,f_b_0,f_c_0,f_c_1,f_c_2,f_c_3,f_c_4,ind_0,ind_1,ind_2,ind_3,ind_4
24310,1,0.042056609,68.79851018,5.474811486,298.796571,0.290317845,0.042056609,10.46751472,4.559872664,47.42096984,0.182654691,1635.854899,38896.5,108.8582371,156.279207,0.290317845
24313,1,0.041733573,23.6965786,1.885713809,301.1093869,0.063621395,0.041733573,6.724658143,3.368993707,28.18264457,0.530303164,567.806129,13605.5,56.25378579,84.43643035,0.063621395
24315,1,0.034791834,21.20928004,1.687780879,361.187359,0.082630187,0.034791834,7.157585994,1.163997007,11.91318661,0.592493974,609.6051183,17521.5,73.25590794,85.16909454,0.082630187
24323,1,0.021085947,31.0834066,2.473538904,595.9595224,0.103693223,0.021085947,7.439975435,4.105050078,70.45106614,0.404279067,1474.129064,69910.5,127.6852149,198.1362811,0.103693223
24333,1,0.019752284,30.27975186,2.409586092,636.1983667,0.092018431,0.019752284,7.953659051,2.977857478,52.50389466,0.415009035,1532.974736,77610,140.2344068,192.7383015,0.092018431
24351,1,0.014181307,20.33236752,1.617998398,886.1221938,0.02202595,0.014181307,6.681445297,2.566338283,59.54941907,0.618047584,1433.74429,101101,155.0365314,214.5859505,0.02202595
24367,1,0.041117499,19.59630901,1.559424722,305.6209894,0.01284651,0.041117499,8.689214254,-1.926666192,-15.62655333,0.641262118,476.5929266,11591,70.47534779,54.84879446,0.01284651
24410,1,0.028511434,19.10929074,1.52066904,440.7484588,0.009243048,0.028511434,5.705787685,4.618349559,52.54639559,0.657605287,670.2325358,23507.5,64.91898742,117.465383,0.009243048
24449,1,0.046122967,16.70803463,1.329583151,272.4536491,0.052834123,0.046122967,6.441115582,1.288198487,9.373221275,0.752115428,362.2497813,7854,46.86700243,56.24022371,0.052834123
24459,1,0.014758633,24.97438043,1.987398048,851.4589926,0.038850321,0.014758633,7.752522353,1.813006635,41.37099535,0.503170465,1692.18794,114657.5,176.9047945,218.2757899,0.038850321
24481,1,0.029479245,18.99690615,1.511725758,426.278574,0.018435912,0.029479245,7.626825729,-0.713431791,-8.719344716,0.661495641,644.4163005,21860,93.21272682,84.4933821,0.018435912
24482,1,0.017424393,28.32615685,2.254123941,721.1941632,0.097367283,0.017424393,9.596944277,-1.147179761,-22.99767288,0.443631329,1625.661029,93298,192.3912822,169.3936093,0.097367283
24496,1,0.020412692,19.04593359,1.515627238,615.6155642,0.017280993,0.020412692,9.944703841,-4.02983084,-63.92217307,0.65979284,933.0437173,45709,157.7453509,93.82317786,0.017280993
24516,1,0.016200357,20.442616,1.626771693,775.684777,0.036830569,0.016200357,6.662562883,2.326948498,49.0254105,0.614714409,1261.862038,77891,140.3704812,189.3958917,0.036830569
24537,1,0.025160994,32.23399385,2.565099728,499.4385672,0.070345555,0.025160994,9.392412592,0.503614798,6.941395067,0.38984839,1281.109733,50916.5,129.4569712,136.3983663,0.070345555
24545,1,0.020486595,30.48243328,2.425714967,613.3947865,0.083294617,0.020486595,9.617662246,-0.91074838,-16.18245791,0.41224959,1487.920914,72629,170.8895869,154.707129,0.083294617
24546,1,0.025771459,41.73432943,3.321112413,487.6080484,0.165869862,0.025771459,11.11875043,-1.122519674,-16.35521086,0.30110393,1619.401142,62837,162.0011764,145.6459656,0.165869862
24552,1,0.01994756,33.79408596,2.689247914,629.9702982,0.070807283,0.01994756,8.446011769,3.223008537,55.40210835,0.371851176,1694.14631,84930,145.1832515,200.5853599,0.070807283
24571,1,0.041251461,61.62985538,4.904348063,304.628496,0.196283348,0.041251461,11.50388495,0.801581489,8.459737366,0.203900699,1494.004174,36217,121.4097963,129.8695337,0.196283348
24586,1,0.059762687,19.45260359,1.547989009,210.2711789,0.054994773,0.059762687,7.672608133,-0.0742315,-0.414449888,0.645999419,325.4974738,5446.5,42.83776517,42.42331528,0.054994773
24624,1,0.090387796,37.30400851,2.968558675,139.0272931,0.785091176,0.090387796,6.347368077,4.936669332,28.44602203,0.336863815,412.7106769,4566,36.57473491,65.02075693,0.785091176
24630,1,0.019570228,30.65214481,2.439220182,642.116719,0.073305914,0.019570228,8.014946158,3.069979519,54.12115619,0.40996709,1566.26406,80033,141.2967579,195.4179141,0.073305914
24640,1,0.012431872,21.57105424,1.716569955,1010.818844,0.024715659,0.012431872,6.727939866,3.146190514,82.17484528,0.582557091,1735.141257,139572,175.725982,257.9008273,0.024715659
24652,1,0.039758172,37.00763489,2.944974012,316.0701309,0.177241102,0.039758172,11.49314455,-2.900801632,-27.34213882,0.33956157,930.8183217,23412,108.3311421,80.98900329,0.177241102
24675,1,0.105434663,16.65246925,1.325161398,119.1863309,0.015774961,0.105434663,7.78088374,-1.202294274,-3.709747015,0.75462506,157.9411249,1498,24.00835707,20.29861005,0.015774961
24679,1,0.032214642,65.13490245,5.183270847,390.082581,0.317897692,0.032214642,9.943516935,5.901015325,75.72996607,0.192928371,2021.90367,62763.5,127.6089213,203.3388874,0.317897692
24688,1,0.018528698,20.51670639,1.632667619,678.2112201,0.097403241,0.018528698,7.837331045,-0.615614462,-12.04378327,0.612494539,1107.293498,59761,153.328296,141.2845128,0.097403241
24701,1,0.033247464,56.58732244,4.503076041,377.9647865,0.214883975,0.033247464,9.040647324,3.195424633,49.16404978,0.222070423,1702.004175,51192,139.0972675,188.2613173,0.214883975
24702,1,0.026572244,30.17733041,2.401435652,472.9134145,0.050509821,0.026572244,7.404612764,3.800616535,52.02158031,0.416417571,1135.671134,42739,101.351887,153.3734673,0.050509821
24729,1,0.034253712,25.49676022,2.028967711,366.8615729,0.092868325,0.034253712,6.787387504,3.483091992,37.19194919,0.492861466,744.3502858,21730.5,72.47473558,109.6666848,0.092868325
24732,1,0.018836611,20.13148082,1.602012342,667.1248238,0.071730502,0.018836611,8.607501574,-2.032659536,-38.38620394,0.624214916,1068.742201,56737.5,162.5502476,124.1640437,0.071730502
24739,1,0.059233541,36.28256103,2.887274468,212.1495749,0.20240949,0.059233541,11.40567173,-3.355779368,-22.38786578,0.346347398,612.5340509,10341,76.09220387,53.70433809,0.20240949
24756,1,0.022149349,20.91744268,1.664557199,567.3471663,0.061004555,0.022149349,8.410105556,-1.221153871,-19.07440469,0.600760371,944.3818102,42637,131.3657195,112.2913148,0.061004555
24792,1,0.017242815,21.50685083,1.71146081,728.7888159,0.027112948,0.017242815,6.604807486,3.212839797,61.80023695,0.584296172,1247.293497,72337,127.0460693,188.8463063,0.027112948
24805,1,0.024292961,26.81632286,2.133975169,517.2844371,0.067440011,0.024292961,7.362970597,3.268517381,46.09167113,0.468609014,1103.872144,45440,103.8304465,149.9221177,0.067440011
24806,1,0.017366943,25.28357377,2.012002872,723.5798785,0.079082359,0.017366943,7.46812611,2.486715096,48.69620633,0.497017183,1455.844794,83828.5,146.2449037,194.9411101,0.079082359
